_key,surveyNumber,district,state,pincode,circleRateValue,marketValue,riskScore,riskReasons
prop_42_000000,SVY-42-000000,Mumbai_South,Maharashtra,400096,18000733,33188107,35,"[""undervalued_property""]"
prop_42_000001,SVY-42-000001,Navi_Mumbai,Maharashtra,400107,29686080,53370181,35,"[""undervalued_property""]"
prop_42_000002,SVY-42-000002,Andheri_East,Maharashtra,400081,20561866,25568557,35,"[""undervalued_property""]"
prop_42_000003,SVY-42-000003,Mumbai_South,Maharashtra,400107,15398571,18630550,35,"[""undervalued_property""]"
prop_42_000004,SVY-42-000004,Bandra_Kurla,Maharashtra,400051,29158160,42625936,35,"[""undervalued_property""]"
prop_42_000005,SVY-42-000005,Navi_Mumbai,Maharashtra,400086,25023284,35740105,0,
prop_42_000006,SVY-42-000006,Mumbai_South,Maharashtra,400080,5009084,9427823,0,
prop_42_000007,SVY-42-000007,Mumbai_South,Maharashtra,400094,15181976,23623890,0,
prop_42_000008,SVY-42-000008,Mumbai_South,Maharashtra,400025,17349700,23808072,0,
prop_42_000009,SVY-42-000009,Mumbai_South,Maharashtra,400003,14394525,22081051,0,
prop_42_000010,SVY-42-000010,Mumbai_South,Maharashtra,400059,15135120,19879533,0,
prop_42_000011,SVY-42-000011,Mumbai_South,Maharashtra,400015,20988848,28118025,0,
prop_42_000012,SVY-42-000012,Bandra_Kurla,Maharashtra,400035,24454088,42939785,0,
prop_42_000013,SVY-42-000013,Navi_Mumbai,Maharashtra,400089,21096899,26384353,0,
prop_42_000014,SVY-42-000014,Bandra_Kurla,Maharashtra,400005,27750551,41679663,0,
prop_42_000015,SVY-42-000015,Bandra_Kurla,Maharashtra,400074,10872793,21509925,0,
prop_42_000016,SVY-42-000016,Andheri_East,Maharashtra,400062,28820349,41076343,0,
prop_42_000017,SVY-42-000017,Andheri_East,Maharashtra,400058,11310575,15697435,0,
prop_42_000018,SVY-42-000018,Navi_Mumbai,Maharashtra,400090,19607737,32296992,0,
prop_42_000019,SVY-42-000019,Mumbai_South,Maharashtra,400077,14613918,21792681,0,
prop_42_000020,SVY-42-000020,Navi_Mumbai,Maharashtra,400048,10499394,15734538,0,
prop_42_000021,SVY-42-000021,Andheri_East,Maharashtra,400053,29669049,50777133,0,
prop_42_000022,SVY-42-000022,Andheri_East,Maharashtra,400099,20686165,41099484,0,
prop_42_000023,SVY-42-000023,Bandra_Kurla,Maharashtra,400047,27673088,45212702,0,
prop_42_000024,SVY-42-000024,Andheri_East,Maharashtra,400046,9618482,14103034,0,
prop_42_000025,SVY-42-000025,Navi_Mumbai,Maharashtra,400006,27828344,37051239,0,
prop_42_000026,SVY-42-000026,Thane_West,Maharashtra,400081,25092143,36968753,0,
prop_42_000027,SVY-42-000027,Thane_West,Maharashtra,400106,28260429,42873335,0,
prop_42_000028,SVY-42-000028,Navi_Mumbai,Maharashtra,400074,6408562,10354025,0,
prop_42_000029,SVY-42-000029,Thane_West,Maharashtra,400091,29820591,41194935,0,
prop_42_000030,SVY-42-000030,Andheri_East,Maharashtra,400048,29556968,55247146,0,
prop_42_000031,SVY-42-000031,Bandra_Kurla,Maharashtra,400096,12350817,20522309,0,
prop_42_000032,SVY-42-000032,Mumbai_South,Maharashtra,400059,12577087,21536695,0,
prop_42_000033,SVY-42-000033,Thane_West,Maharashtra,400102,29031747,34851941,0,
prop_42_000034,SVY-42-000034,Thane_West,Maharashtra,400040,7422853,13034158,0,
prop_42_000035,SVY-42-000035,Andheri_East,Maharashtra,400013,12021064,19637291,0,
prop_42_000036,SVY-42-000036,Mumbai_South,Maharashtra,400024,14924866,19355468,0,
prop_42_000037,SVY-42-000037,Andheri_East,Maharashtra,400055,20186714,39582313,0,
prop_42_000038,SVY-42-000038,Mumbai_South,Maharashtra,400044,28414903,47681590,0,
prop_42_000039,SVY-42-000039,Andheri_East,Maharashtra,400062,19378875,32855065,0,
prop_42_000040,SVY-42-000040,Mumbai_South,Maharashtra,400005,27787399,44267182,0,
prop_42_000041,SVY-42-000041,Mumbai_South,Maharashtra,400103,13582625,23912281,0,
prop_42_000042,SVY-42-000042,Mumbai_South,Maharashtra,400080,19183514,33587895,0,
prop_42_000043,SVY-42-000043,Mumbai_South,Maharashtra,400063,17749586,21848626,0,
prop_42_000044,SVY-42-000044,Navi_Mumbai,Maharashtra,400093,8088646,10243232,0,
prop_42_000045,SVY-42-000045,Bandra_Kurla,Maharashtra,400061,16320684,22736392,0,
prop_42_000046,SVY-42-000046,Navi_Mumbai,Maharashtra,400028,28623665,53918791,0,
prop_42_000047,SVY-42-000047,Mumbai_South,Maharashtra,400087,27945318,36404570,0,
prop_42_000048,SVY-42-000048,Mumbai_South,Maharashtra,400036,21846761,29383601,0,
prop_42_000049,SVY-42-000049,Navi_Mumbai,Maharashtra,400033,26934609,47929186,0,
