_from,_to,role
person/person_42_000000,organization/org_42_000000,Employee
person/person_42_000001,organization/org_42_000001,Employee
person/person_42_000002,organization/org_42_000002,Director
person/person_42_000003,organization/org_42_000003,Director
person/person_42_000004,organization/org_42_000004,Director
person/person_42_000005,organization/org_42_000005,Director
person/person_42_000006,organization/org_42_000006,Employee
person/person_42_000007,organization/org_42_000007,Partner
person/person_42_000008,organization/org_42_000008,Employee
person/person_42_000009,organization/org_42_000009,Employee
person/person_42_000010,organization/org_42_000010,Director
person/person_42_000011,organization/org_42_000011,Partner
person/person_42_000012,organization/org_42_000012,Employee
person/person_42_000013,organization/org_42_000013,Partner
person/person_42_000014,organization/org_42_000014,Employee
person/person_42_000015,organization/org_42_000015,Director
person/person_42_000016,organization/org_42_000016,Partner
person/person_42_000017,organization/org_42_000017,Employee
person/person_42_000018,organization/org_42_000018,Director
person/person_42_000019,organization/org_42_000019,Partner
person/person_42_000020,organization/org_42_000020,Employee
person/person_42_000021,organization/org_42_000021,Employee
person/person_42_000022,organization/org_42_000022,Partner
person/person_42_000023,organization/org_42_000023,Employee
person/person_42_000024,organization/org_42_000024,Employee
person/person_42_000025,organization/org_42_000025,Director
person/person_42_000026,organization/org_42_000026,Employee
person/person_42_000027,organization/org_42_000027,Partner
person/person_42_000028,organization/org_42_000028,Partner
person/person_42_000029,organization/org_42_000029,Employee
